country,pri_2015,low_2015,upp_2015,col_2015,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_ladder,world_rank_speed,world_rank_gender
jordan,76.5,58.8,58.0,29.2,30.3,6.4,13.6,0.4,54.0,26.2,63.4,42.8,66.2,52.0,55.6,12.7,50.5,9.7,43.0,1985.0,0.0,0.0,17.7,1960–1970,14.9,Primary Building,Breakthrough,84,51,83,83,100
argentina,75.1,60.3,62.4,24.6,26.5,6.5,19.1,0.7,41.5,17.2,55.2,32.5,67.5,48.5,55.6,13.2,50.3,10.9,42.4,2000.0,3.5,4.5,14.8,2000–2010,8.1,Primary Building,Breakthrough,85,56,84,103,12
curaçao,86.7,49.9,63.0,21.0,59.8,7.6,18.1,1.1,81.9,19.1,87.7,27.3,91.5,32.7,55.1,21.6,48.6,15.7,33.5,1965.0,0.6,5.0,36.8,1960–1970,8.4,Secondary Transition,Strong Progress,86,88,86,51,65
china,94.9,53.6,46.6,24.0,23.3,2.9,6.2,0.2,47.0,13.0,75.0,19.6,90.6,38.9,54.8,8.2,46.9,5.8,46.6,1980.0,-0.6,-0.1,41.3,2000–2010,11.0,Secondary Transition,Breakthrough,87,41,90,73,117
tunisia,90.3,52.2,46.5,26.2,4.0,1.1,0.9,0.0,24.4,3.7,37.9,11.9,74.6,30.0,53.8,1.5,46.7,1.1,52.3,2005.0,-1.2,3.1,38.1,2000–2010,22.5,Secondary Transition,Breakthrough,88,23,93,112,122
botswana,83.2,53.8,55.3,22.7,6.4,0.3,3.4,0.0,20.3,4.3,43.6,17.8,80.7,40.0,53.8,2.5,47.3,2.0,51.2,2000.0,1.9,1.7,29.4,1990–2000,13.3,Secondary Transition,Breakthrough,89,26,88,103,36
aruba,81.9,49.9,47.5,33.1,31.6,2.9,7.7,0.8,56.1,11.7,70.2,21.4,73.0,32.7,53.1,10.8,47.8,7.6,42.4,1980.0,3.3,7.5,32.0,1980–1990,9.0,Secondary Transition,Breakthrough,90,57,87,73,16
dominican republic,79.9,54.6,53.1,24.3,17.5,1.6,7.2,0.1,36.2,7.7,56.1,24.1,71.0,43.0,53.0,6.6,47.0,4.9,46.4,2000.0,4.2,6.8,25.3,2000–2010,10.8,Primary Building,Breakthrough,91,43,89,103,7
bahrain,77.4,58.9,53.9,21.6,13.8,2.4,2.4,0.2,37.4,18.8,49.1,33.4,61.3,49.2,53.0,4.7,46.8,3.2,48.2,2005.0,1.1,8.3,18.5,1960–1970,11.9,Primary Building,Breakthrough,92,33,91,112,51
kiribati,84.3,63.6,59.3,3.8,18.5,3.9,7.1,0.1,31.5,10.8,46.2,24.5,72.6,47.4,52.8,7.4,44.0,5.5,45.4,2000.0,3.5,4.8,20.7,2000–2010,15.9,Secondary Transition,Breakthrough,93,44,99,103,12
jamaica,96.6,46.5,44.1,23.3,32.7,3.6,9.9,0.9,63.0,12.6,85.9,25.1,94.9,32.7,52.6,11.8,44.7,8.6,40.9,1975.0,1.5,8.3,50.1,1970–1980,12.2,Secondary Transition,Breakthrough,94,60,97,65,45
oman,74.5,57.6,52.4,24.6,3.9,0.1,2.0,0.0,19.0,3.8,37.3,22.1,64.1,50.8,52.3,1.5,46.7,1.1,50.8,2005.0,2.0,5.6,16.9,1990–2000,13.3,Primary Building,Breakthrough,95,28,92,112,32
south africa,86.9,53.6,58.7,8.2,31.3,6.4,18.9,0.3,41.1,11.8,67.8,25.9,84.2,39.4,51.8,14.2,43.6,11.4,37.6,1990.0,2.1,2.7,33.3,1980–1990,10.2,Secondary Transition,Strong Progress,96,72,100,91,29
zimbabwe,75.8,52.6,68.1,10.0,28.9,6.8,12.3,0.6,38.8,13.5,70.1,26.3,73.5,38.9,51.6,12.2,45.1,9.3,39.5,1985.0,0.6,-0.9,23.2,1980–1990,14.6,Primary Building,Strong Progress,97,65,94,83,64
brazil,77.8,56.2,57.3,14.7,20.7,3.1,11.1,0.2,38.7,10.4,52.2,25.2,71.8,44.5,51.5,8.8,44.8,6.9,42.7,2000.0,3.4,4.5,21.6,2000–2010,9.8,Primary Building,Breakthrough,98,54,96,103,14
tonga,93.3,45.5,45.1,18.6,40.3,2.8,7.4,0.2,58.5,8.7,86.4,22.7,87.5,28.6,50.6,12.7,42.6,8.5,38.0,1980.0,1.3,3.7,47.8,1980–1990,11.0,Secondary Transition,Strong Progress,99,69,104,73,48
indonesia,78.6,58.1,52.1,13.7,11.0,0.9,4.0,0.0,25.1,5.7,47.8,20.0,67.8,44.8,50.6,4.0,43.5,2.9,46.6,2000.0,-0.1,-0.2,20.5,2000–2010,11.0,Primary Building,Breakthrough,100,40,101,103,107
ecuador,71.8,54.7,51.8,23.1,16.1,2.3,8.5,0.1,34.4,9.7,52.3,27.7,61.3,44.6,50.4,6.7,45.0,5.3,43.6,2005.0,1.6,2.3,17.1,1980–1990,10.0,Primary Building,Breakthrough,101,50,95,112,41
mauritius,77.6,57.6,54.5,11.2,12.1,3.4,5.3,0.1,33.2,9.3,49.1,27.0,64.3,43.9,50.2,5.2,43.0,4.0,45.0,2005.0,4.2,4.5,20.0,2000–2010,12.7,Primary Building,Breakthrough,102,45,103,112,6
world,74.3,52.6,51.9,21.7,35.9,15.7,19.5,2.7,50.2,24.4,61.5,30.5,68.6,42.9,50.1,18.5,44.5,15.0,31.7,1990.0,-1.4,-0.7,21.7,2000–2010,7.2,Primary Building,Strong Progress,103,95,98,91,123
mexico,81.2,46.5,44.2,21.1,15.0,1.3,5.8,0.1,35.3,7.3,60.8,22.4,73.3,40.4,48.2,5.5,41.7,4.1,42.7,1990.0,0.9,1.5,34.7,1980–1990,10.7,Secondary Transition,Breakthrough,104,55,106,91,58
timor-leste,69.5,56.4,50.5,15.7,2.2,0.1,1.1,0.0,8.1,0.6,32.4,9.2,54.7,37.2,48.0,0.8,42.1,0.6,47.2,2010.0,-1.4,-2.1,13.1,2000–2010,15.6,Primary Building,Breakthrough,105,36,105,117,126
costa rica,65.7,49.0,50.1,25.0,22.9,5.7,14.8,0.9,40.0,18.1,43.8,27.0,58.2,37.5,47.5,11.1,43.1,9.0,36.4,2010.0,3.0,3.2,16.7,2000–2010,8.7,Primary Building,Strong Progress,106,80,102,117,19
samoa,82.9,43.8,42.6,20.0,19.9,2.8,6.6,0.8,42.7,9.8,64.3,22.7,69.7,28.9,47.3,7.5,40.5,5.6,39.8,1985.0,3.5,4.3,39.1,2000–2010,10.7,Secondary Transition,Strong Progress,107,64,108,83,12
french guiana,65.3,48.8,49.8,19.5,35.1,8.9,21.0,2.9,50.0,19.9,59.3,32.4,57.5,39.0,45.8,17.0,41.0,14.0,28.9,2015.0,-0.6,0.1,16.5,1960–1970,7.7,Primary Building,Strong Progress,108,100,107,122,116
belize,63.2,49.9,46.9,20.3,17.2,2.8,10.5,0.1,27.1,10.3,38.9,22.6,52.6,38.4,45.1,7.7,40.4,6.1,37.4,2015.0,2.1,2.7,13.3,2000–2010,10.2,Primary Building,Strong Progress,109,74,109,122,29
india,67.4,48.6,44.4,17.2,15.3,1.6,9.9,0.1,29.0,7.0,38.0,16.1,54.2,33.9,44.4,6.7,38.9,5.4,37.7,2010.0,-2.0,-2.6,18.8,2000–2010,11.3,Primary Building,Strong Progress,110,71,110,117,135
paraguay,62.6,43.9,43.8,18.6,16.8,2.6,9.6,0.4,26.8,7.5,39.1,16.4,51.1,30.9,42.2,7.3,37.5,5.8,34.9,2015.0,1.5,2.7,18.7,2000–2010,9.0,Primary Building,Strong Progress,111,83,111,122,46
suriname,83.1,39.9,36.1,9.1,25.0,2.6,6.7,0.2,49.1,9.3,68.7,23.2,73.3,29.8,42.0,8.6,34.0,6.1,33.4,1985.0,1.6,4.0,43.2,1970–1980,7.5,Primary Complete,Strong Progress,112,90,116,83,41
uruguay,72.1,38.1,42.0,12.0,32.1,5.0,14.5,0.9,52.9,15.5,62.0,24.4,67.6,28.6,41.0,13.1,34.8,10.1,27.9,1990.0,4.0,4.9,34.0,1960–1970,7.2,Primary Complete,Strong Progress,113,106,115,91,8
qatar,60.2,43.5,43.4,16.3,25.6,7.2,15.3,1.2,44.1,24.0,54.1,33.6,54.7,37.1,40.9,12.3,36.1,10.0,28.5,2015.0,21.2,19.5,16.7,1960–1970,10.1,Primary Building,Strong Progress,114,102,112,122,1
el salvador,66.8,38.9,41.3,15.8,13.6,0.7,6.5,0.1,28.7,3.8,44.8,11.4,53.4,21.4,40.7,5.2,35.3,4.0,35.5,2010.0,-0.1,1.1,27.9,2000–2010,7.1,Primary Building,Strong Progress,115,81,114,117,107
nigeria,55.7,43.9,44.9,15.5,6.7,0.4,3.8,0.0,11.7,2.0,31.8,10.9,46.0,29.4,40.0,2.7,35.7,2.1,37.3,,-9.3,-8.0,11.8,2000–2010,10.2,Primary Building,Strong Progress,116,75,113,150,172
kuwait,69.1,36.9,35.5,15.9,27.6,7.1,15.9,2.3,37.1,20.0,53.7,27.7,60.5,28.4,39.4,13.2,33.6,10.8,26.1,2005.0,3.1,6.2,32.2,1970–1980,6.8,Primary Building,Strong Progress,117,112,117,112,18
nepal,61.0,45.8,42.1,5.5,5.3,0.2,2.6,0.0,14.2,1.8,29.0,9.4,48.3,30.3,38.6,2.0,32.5,1.5,36.6,2015.0,-4.1,-3.6,15.2,2000–2010,11.4,Primary Building,Strong Progress,118,78,118,122,153
kenya,68.2,34.4,37.7,10.2,12.7,0.7,3.2,0.0,26.6,4.1,49.5,12.4,63.4,27.8,37.6,4.2,31.5,2.9,33.5,2000.0,0.1,-0.5,33.8,1980–1990,9.2,Primary Building,Strong Progress,119,89,119,103,92
nicaragua,50.9,37.6,34.7,14.5,8.3,0.6,5.3,0.0,20.7,4.7,31.9,16.5,38.8,27.5,34.4,3.5,30.4,2.8,30.9,,3.2,3.3,13.3,2000–2010,7.3,Primary Building,Strong Progress,120,97,120,150,17
morocco,53.8,36.6,32.4,14.8,2.8,0.1,0.7,0.0,13.3,1.0,25.0,5.5,32.3,16.6,34.4,0.9,30.1,0.6,33.5,,-2.0,0.0,17.2,2000–2010,10.8,Primary Building,Strong Progress,121,87,121,150,135
ghana,66.3,30.2,30.3,7.5,24.1,1.8,5.7,0.1,48.2,7.4,48.7,13.6,60.4,22.3,33.6,7.9,27.3,5.5,25.7,2005.0,-4.0,-3.4,36.1,1960–1970,5.8,Primary Building,Strong Progress,122,113,127,112,152
namibia,58.0,32.2,32.4,8.4,9.4,0.5,5.3,0.0,17.9,2.2,39.2,11.2,54.4,27.3,32.8,3.8,27.4,3.0,28.9,,3.6,1.8,25.8,1990–2000,9.3,Primary Building,Strong Progress,123,99,126,150,9
sudan,48.9,36.4,32.1,13.1,3.8,0.0,1.5,0.0,10.6,1.2,24.2,9.1,33.5,23.0,32.6,1.3,28.6,1.0,31.3,,-1.9,-0.5,12.5,1980–1990,6.3,Primary Building,Strong Progress,124,96,122,150,133
