country,pri_2015,low_2015,upp_2015,col_2015,pri_2025,low_2025,upp_2025,col_2025,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,ladder_score_2025,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_speed
Libyan Arab Jamahiriya,,,,,90.1,85.0,64.9,23.6,,,,,,,,,,,,,,,58.1,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Grenada,,,,,95.8,81.3,71.2,18.7,,,,,,,,,,,,,,,58.1,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Guam,,,,,98.4,91.8,79.9,36.6,,,,,,,,,,,,,,,69.6,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Barbados,,,,,95.9,81.3,71.3,19.1,,,,,,,,,,,,,,,58.3,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Djibouti,,,,,40.7,32.0,21.8,4.5,,,,,,,,,,,,,,,20.5,,,,,,n/a,,No Data,Insufficient Data,197,197,193
Papua New Guinea,,,,,73.0,63.1,42.7,7.5,,,,,,,,,,,,,,,38.8,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Seychelles,,,,,98.9,95.0,75.6,18.4,,,,,,,,,,,,,,,62.7,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
United States Virgin Islands,,,,,95.3,80.6,70.5,18.7,,,,,,,,,,,,,,,57.7,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Uzbekistan,,,,,99.7,99.2,91.6,17.1,,,,,,,,,,,,,,,67.7,,2020.0,,,,n/a,,No Data,Insufficient Data,197,197,171
Western Sahara,,,,,54.6,37.8,16.2,4.7,,,,,,,,,,,,,,,22.2,,,,,,n/a,,No Data,Insufficient Data,197,197,193
