country,pri_2015,low_2015,upp_2015,col_2015,pri_2025,low_2025,upp_2025,col_2025,pri_1960,low_1960,upp_1960,col_1960,pri_1975,low_1975,pri_1990,low_1990,pri_2005,low_2005,edu_score_2015,edu_score_1960,ladder_score_2015,ladder_score_1960,ladder_score_2025,gain_1960_2015,year_crossed_60pct_primary,gender_gap_primary_2015,gender_gap_lowsec_2015,sequential_gap_2015,peak_decade,peak_decade_gain,archetype,trajectory,world_rank_2015,world_rank_gain,world_rank_speed
Venezuela (Bolivarian Republic of),95.0,90.9,71.9,38.9,95.9,93.8,79.9,43.2,54.5,25.1,17.0,5.6,77.9,51.9,89.2,74.0,93.5,86.1,74.2,25.5,67.5,20.0,72.0,48.6,1965.0,0.0,0.0,4.0,1960–1970,13.1,Universal,Large Gain,50,47,81
Montenegro,97.4,96.3,90.8,18.0,100.0,100.0,100.0,38.9,90.2,49.3,26.1,2.9,98.2,87.1,98.9,97.0,98.6,97.2,75.6,42.1,66.9,31.9,78.2,33.5,1960.0,0.0,0.0,1.1,1960–1970,15.5,Universal,Strong Progress,51,100,38
Azerbaijan,99.9,99.4,93.1,12.3,99.9,99.4,94.9,13.0,92.5,73.6,52.9,2.6,98.9,96.3,99.7,99.1,99.9,99.2,76.2,55.4,66.6,45.1,67.3,20.7,1960.0,0.0,0.0,0.6,1960–1970,12.3,Universal,Moderate Progress,52,150,38
Netherlands,99.6,96.1,81.1,23.9,100.0,100.0,100.0,46.2,96.6,71.1,27.4,2.6,98.4,83.3,98.2,92.4,98.3,95.6,75.2,49.4,66.5,37.8,80.8,25.7,1960.0,0.0,0.0,3.6,2010–2020,11.3,Universal,Strong Progress,53,130,38
Fiji,99.4,90.9,72.8,33.6,99.5,92.9,81.0,37.2,50.5,15.0,6.3,3.4,86.0,39.0,96.5,71.6,98.4,87.0,74.2,18.8,66.5,13.5,70.5,55.4,1965.0,0.0,0.0,8.5,1960–1970,11.8,Universal,Large Gain,54,21,81
Spain,97.8,90.1,72.8,34.1,100.0,100.0,100.0,74.9,60.6,30.9,10.5,3.4,89.0,69.4,97.4,88.3,97.8,92.0,73.7,26.3,66.3,19.5,91.0,47.4,1960.0,0.0,0.0,7.6,2010–2020,18.8,Universal,Large Gain,55,50,38
Serbia,98.0,98.0,91.5,13.0,99.3,99.2,94.8,14.5,79.6,42.8,24.7,2.6,97.2,86.1,98.7,97.2,98.5,98.1,75.1,37.4,65.8,28.5,67.7,37.7,1960.0,0.0,0.0,0.0,1960–1970,19.8,Universal,Strong Progress,56,83,38
Germany,100.0,99.1,79.6,21.0,100.0,100.0,100.0,45.1,100.0,96.5,50.5,3.9,100.0,96.4,100.0,96.5,100.0,97.7,74.9,62.8,65.8,50.8,80.4,12.2,1960.0,0.0,0.0,0.9,2000–2010,10.3,Universal,Moderate Progress,57,180,38
Cuba,99.1,97.6,82.1,20.0,99.3,98.1,87.4,21.6,66.8,33.8,15.1,2.8,89.9,70.4,97.8,90.3,98.7,95.2,74.7,29.6,65.7,22.1,67.9,45.1,1960.0,0.0,0.0,1.5,1960–1970,15.0,Universal,Large Gain,58,55,38
Switzerland,99.2,97.8,86.3,16.2,100.0,100.0,100.0,37.3,96.2,81.9,48.9,2.1,97.7,89.9,98.2,92.7,98.9,96.1,74.8,57.3,65.5,46.0,77.6,17.6,1960.0,0.0,0.0,1.4,2000–2010,9.8,Universal,Moderate Progress,59,163,38
Belgium,100.0,96.0,80.2,20.9,100.0,100.0,100.0,45.7,91.1,59.5,30.4,6.8,96.6,82.8,98.3,91.8,99.9,95.0,74.3,46.9,65.2,36.9,80.6,27.3,1960.0,0.0,0.0,4.0,2010–2020,11.1,Universal,Strong Progress,60,124,38
Turkmenistan,100.0,100.0,96.4,5.5,100.0,99.9,96.9,5.7,93.3,77.2,44.1,3.2,98.8,95.9,99.6,99.1,99.8,99.7,75.5,54.4,65.2,43.6,65.4,21.0,1960.0,0.0,0.0,0.0,1960–1970,12.6,Universal,Moderate Progress,61,149,38
Kyrgyzstan,99.2,98.5,92.0,9.8,99.6,98.9,94.5,10.2,85.7,69.4,43.0,4.3,99.2,97.6,99.7,99.0,99.7,99.1,74.9,50.6,65.1,40.9,66.1,24.3,1960.0,0.0,0.0,0.7,1960–1970,18.2,Universal,Strong Progress,62,137,38
Saint Lucia,96.4,88.3,79.2,27.1,100.0,100.0,100.0,49.2,70.4,11.3,7.2,2.5,91.0,30.8,97.0,52.8,97.8,82.0,72.8,22.9,65.0,15.4,81.9,49.9,1960.0,0.0,0.0,8.1,2010–2020,17.2,Universal,Large Gain,63,42,38
Peru,94.6,85.5,79.2,28.2,100.0,100.0,100.0,40.5,39.5,20.6,17.9,3.8,62.0,42.5,74.1,60.9,87.9,74.7,71.9,20.5,64.6,16.5,78.7,51.4,1975.0,0.0,0.0,9.1,2010–2020,19.1,Universal,Large Gain,64,33,101
Italy,99.7,99.6,85.5,12.5,100.0,100.0,100.0,27.7,88.3,36.4,16.3,1.4,96.9,70.7,98.8,94.0,99.3,98.6,74.3,35.6,64.5,25.6,74.2,38.7,1960.0,0.0,0.0,0.1,1970–1980,14.0,Universal,Strong Progress,65,82,38
Albania,96.7,96.1,67.3,30.1,99.5,99.2,81.5,35.6,84.3,35.1,11.2,2.0,97.4,84.7,98.4,96.8,97.3,96.1,72.6,33.2,64.4,23.5,71.5,39.4,1960.0,0.0,0.0,0.5,1960–1970,15.4,Secondary Building,Strong Progress,66,77,38
United Arab Emirates,95.5,89.7,79.9,23.8,96.5,90.9,82.6,26.2,21.1,16.5,11.7,2.5,63.1,56.4,81.8,73.7,87.4,80.9,72.2,13.0,64.2,10.8,66.2,59.3,1975.0,0.0,0.0,5.8,1960–1970,23.1,Universal,Large Gain,67,14,101
Macao Special Administrative Region of China,98.7,91.3,75.4,23.8,98.0,92.0,80.9,27.1,41.5,10.3,4.3,0.6,85.2,53.0,94.5,78.6,98.2,89.8,72.3,14.2,63.7,9.6,66.5,58.1,1970.0,0.0,0.0,7.4,1970–1980,19.5,Universal,Large Gain,68,18,91
Thailand,97.5,92.1,72.6,25.7,98.2,96.3,79.9,28.9,78.1,7.3,4.2,1.4,94.2,19.6,97.0,42.6,95.5,80.3,72.0,22.8,63.6,14.4,67.8,49.2,1960.0,0.0,0.0,5.4,1990–2000,12.5,Universal,Large Gain,69,44,38
Martinique,99.5,93.3,77.9,19.7,99.4,94.8,80.9,20.5,73.0,34.3,16.9,3.9,89.8,61.0,96.7,82.0,98.9,93.2,72.6,32.0,63.5,24.0,64.9,40.6,1960.0,0.0,0.0,6.2,1960–1970,12.1,Universal,Large Gain,70,70,38
China,97.8,94.4,55.4,37.7,100.0,100.0,100.0,87.2,48.0,15.2,4.9,1.4,72.6,36.8,90.5,69.4,95.0,88.4,71.3,17.4,63.5,12.0,95.4,53.9,1970.0,0.0,0.0,3.4,2010–2020,28.0,Secondary Building,Large Gain,71,23,91
Bahrain,97.0,93.1,80.6,18.4,100.0,100.0,100.0,37.0,18.9,13.9,11.4,2.0,49.0,40.5,65.9,56.5,86.0,79.1,72.3,11.6,63.4,9.7,77.5,60.7,1985.0,0.0,0.0,4.0,2010–2020,27.3,Universal,Large Gain,72,13,116
Finland,100.0,100.0,87.0,7.7,100.0,100.0,97.6,17.0,100.0,51.4,38.9,2.2,100.0,81.2,100.0,99.8,100.0,100.0,73.7,48.1,63.3,37.2,69.7,25.6,1960.0,0.0,0.0,0.0,1970–1980,11.3,Universal,Strong Progress,73,131,38
Israel,96.7,93.2,82.9,16.2,100.0,100.0,100.0,35.4,78.3,59.5,44.0,8.3,92.7,77.0,95.3,85.4,97.6,93.6,72.2,47.5,63.2,39.5,76.9,24.7,1960.0,0.0,0.0,3.5,2010–2020,11.7,Universal,Strong Progress,74,136,38
Jamaica,99.6,97.3,57.5,32.8,99.6,97.8,68.0,37.8,67.9,30.8,9.5,7.1,87.4,59.7,98.1,88.2,99.4,95.7,71.8,28.8,63.2,21.5,68.1,43.0,1960.0,0.0,0.0,2.3,1970–1980,13.1,Secondary Building,Large Gain,75,59,38
Portugal,97.3,93.2,73.0,23.8,100.0,100.0,100.0,52.5,13.4,10.3,5.8,1.9,39.3,31.3,79.4,59.3,95.0,86.0,71.8,7.8,63.2,6.4,83.0,64.0,1985.0,0.0,0.0,4.2,2010–2020,16.1,Universal,Large Gain,76,6,116
Polynesia,99.5,97.3,67.9,24.0,99.5,98.0,74.3,26.3,83.2,24.9,7.7,3.1,93.5,50.6,97.2,78.1,98.8,91.7,72.2,29.7,63.0,20.5,65.8,42.5,1960.0,0.0,0.0,2.3,1960–1970,9.4,Secondary Building,Large Gain,77,62,38
Bulgaria,96.8,92.6,83.6,15.3,100.0,100.0,100.0,33.0,95.0,81.8,40.9,4.8,98.2,94.3,98.3,95.6,97.5,93.5,72.1,55.6,63.0,44.5,76.1,16.5,1960.0,0.0,0.0,4.2,1960–1970,9.9,Universal,Moderate Progress,78,168,38
